slug	hitid	workerid
test1_advil_liqui_gels	34R3P23QHS1FQEOUOHYT7MHJKVWWHQ	AQBSUZV7SHTW
test1_hunts_sauce	34F34TZU7WZP54LDYXC7VSH9TG52JJ	A2JUHWRYPJJNUG
test1_nature_valley_sweet_and_salty_nut_almont	36D1BWBEHN1F6CRY1UPZBK9QXA02MN	A38NH3TWVZI9NC
test1_softsoap_gold	3S829FDFT21D3YOICQBPIKGS158XDA	A3BT5LTI48PLUN
gold_standard_rohit	NULL	NULL
softsoap_white_offline2	NULL	NULL
gold_standard_rohit_4	NULL	NULL
gold_standard_rohit_4	3NSCTNUR2ZN6381WMA2TEWF09SAA5N	A3TYVBJYW9UQJM
gold_standard_rohit_4	3KL228NDMVMAVIZ2FXX8YBBNIV3KGQ	A1C7UV2UT2S9T7
gold_standard_rohit_4	39AYGO6AFFK96VVZ0XG2ECF2IC5N6W	AAKL8L5X64LWD
gold_standard_rohit_4	3ZRKL6Z1E838J1CAK66APX2XZPKGS7	A83L8CQ7SOP7G
fb209_mahatma_rice	3L84EBDQ372FX4VL5OINW33GPCPKKY	A83L8CQ7SOP7G
FB209_2cholula_chipotle_hot_sauce	3THR0FZ95PT971YIOGMHIKX4YH3OLO	A2EOOF9D135HQ1
gold_standard_rohit_4	3XD2A6FGFNUT4RP26011BCE8HG9S99	A30BGUDFU3ULR5
gold_standard_rohit_4	3KA7IJSNW65FFSO7C3B37D4NIXXBPG	A3HFPP0UOW8F15
FB209_crystal_hot_sauce	33IXYHIZB5IHUOZLKW1GYC4HOFGE2V	NULL
gold_standard_rohit_4	38EHZ67RIMS5L6Z509BPRK1PU7AGM7	A2EDAWCQAKFOH
gold_standard_rohit_4	35JDMRECC4979I7SJBN6ECWGL5SGER	A2FT368YC7JBS6
gold_standard_rohit_4	3HFWPF5AK9J7PP0MPR0RKZBMISES3G	AS1CTZBVB3EDJ
gold_standard_rohit_4	3QMELQS6Y5BULTNRT4YK1SIA6HYR6Y	A14CR3DI1GO7K9
gold_standard_rohit_4	3OREP8RUT2B92FV89KLGD4QVI91BGA	A2WOT1Q2CAKRO2
FB209_cholula_chipotle_hot_sauce	31MBOZ6PAOR8YC1FYBDQNK3N934LC8	A2JUHWRYPJJNUG
FB209_nature_valley_sweet_and_salty_nut_cashew	3BPP3MA3TCKNVALTU2JLD83QUFHLE1	A2JUHWRYPJJNUG
FB209_nutrigrain_harvest_blueberry_bliss	3ICOHX7ENCBAYEW759X2FOB2RH7E0M	A1621OJQVQZVWC
FB209_pepto_bismol	32CXT5U14G395ZYWQDPMCL3NW3D8UK	AEOXYOJ3II8D8
FB209_pringles_bbq	32PT7WK7DMF1N0H4S141B4ROUHQ3DD	ATJ3FGZ3YP1EE
FB209_softsoap_clear	33IXYHIZB5IHUOZLKW1GYC4HOFRE26	A9HQ3E0F2AGVO
