frame	xtl	ytl	xbr	ybr	slug
24	220	306	296	375	test1_advil_liqui_gels
25	262	280	341	336	test1_advil_liqui_gels
26	220	302	302	359	test1_advil_liqui_gels
27	257	282	353	365	test1_advil_liqui_gels
20	263	280	366	350	test1_advil_liqui_gels
21	270	280	353	340	test1_advil_liqui_gels
22	207	310	295	360	test1_advil_liqui_gels
23	269	278	344	334	test1_advil_liqui_gels
28	255	279	345	361	test1_advil_liqui_gels
29	249	278	340	362	test1_advil_liqui_gels
1	270	274	350	326	test1_advil_liqui_gels
0	257	376	333	430	test1_advil_liqui_gels
3	251	267	359	340	test1_advil_liqui_gels
2	263	274	348	328	test1_advil_liqui_gels
5	258	265	383	347	test1_advil_liqui_gels
4	215	252	330	344	test1_advil_liqui_gels
7	241	271	350	338	test1_advil_liqui_gels
6	255	271	348	332	test1_advil_liqui_gels
9	272	267	389	360	test1_advil_liqui_gels
8	214	263	362	348	test1_advil_liqui_gels
38	214	231	380	363	test1_advil_liqui_gels
11	236	273	349	343	test1_advil_liqui_gels
10	248	271	363	351	test1_advil_liqui_gels
13	240	271	371	361	test1_advil_liqui_gels
12	203	271	359	349	test1_advil_liqui_gels
15	252	275	348	343	test1_advil_liqui_gels
14	252	275	355	348	test1_advil_liqui_gels
17	232	275	352	341	test1_advil_liqui_gels
16	245	275	345	338	test1_advil_liqui_gels
19	217	276	305	348	test1_advil_liqui_gels
18	202	265	359	348	test1_advil_liqui_gels
31	217	269	358	390	test1_advil_liqui_gels
30	235	273	347	368	test1_advil_liqui_gels
37	228	243	370	352	test1_advil_liqui_gels
36	235	252	375	345	test1_advil_liqui_gels
35	231	251	382	350	test1_advil_liqui_gels
34	199	252	356	363	test1_advil_liqui_gels
33	214	264	348	376	test1_advil_liqui_gels
32	221	265	350	378	test1_advil_liqui_gels
165	273	252	325	320	test1_hunts_sauce
133	358	245	422	312	test1_hunts_sauce
132	272	251	324	319	test1_hunts_sauce
131	263	255	316	330	test1_hunts_sauce
130	317	233	364	297	test1_hunts_sauce
137	224	274	287	348	test1_hunts_sauce
136	285	247	351	322	test1_hunts_sauce
135	223	267	290	347	test1_hunts_sauce
134	215	270	282	350	test1_hunts_sauce
139	325	238	375	305	test1_hunts_sauce
138	215	263	278	337	test1_hunts_sauce
166	369	241	434	318	test1_hunts_sauce
24	257	244	316	320	test1_hunts_sauce
25	311	235	363	299	test1_hunts_sauce
26	266	252	317	326	test1_hunts_sauce
27	265	248	315	316	test1_hunts_sauce
20	250	241	332	334	test1_hunts_sauce
21	236	234	317	320	test1_hunts_sauce
22	349	267	410	333	test1_hunts_sauce
23	262	247	322	331	test1_hunts_sauce
160	318	238	367	301	test1_hunts_sauce
28	309	233	358	294	test1_hunts_sauce
29	264	250	312	322	test1_hunts_sauce
161	274	257	322	326	test1_hunts_sauce
0	264	322	323	431	test1_hunts_sauce
4	292	256	341	310	test1_hunts_sauce
8	272	264	312	320	test1_hunts_sauce
163	319	232	367	301	test1_hunts_sauce
120	247	241	322	322	test1_hunts_sauce
121	290	252	345	324	test1_hunts_sauce
122	270	254	325	326	test1_hunts_sauce
123	263	249	318	321	test1_hunts_sauce
124	323	242	367	307	test1_hunts_sauce
